state,complaints_total,pct_disputed,pct_timely,complaints_recent
AA,1,0.0,1.0,1
AE,25,0.0,1.0,25
AK,78,0.0,1.0,78
AL,5838,0.0,1.0,5838
AP,15,0.0,1.0,15
AR,1461,0.0,1.0,1461
AZ,2882,0.0,1.0,2882
CA,18473,0.0,1.0,18473
CO,1407,0.0,1.0,1407
CT,1230,0.0,1.0,1230
DC,534,0.0,1.0,534
DE,860,0.0,1.0,860
FL,29806,0.0,1.0,29806
GA,15630,0.0,1.0,15630
GU,8,0.0,1.0,8
HI,247,0.0,1.0,247
IA,311,0.0,1.0,311
ID,145,0.0,1.0,145
IL,8768,0.0,1.0,8768
IN,2202,0.0,1.0,2202
KS,375,0.0,1.0,375
KY,752,0.0,1.0,752
LA,4960,0.0,1.0,4960
MA,2353,0.0,1.0,2353
MD,4954,0.0,1.0,4954
ME,73,0.0,1.0,73
MI,4118,0.0,1.0,4118
MN,861,0.0,1.0,861
MO,2039,0.0,1.0,2039
MS,4363,0.0,1.0,4363
MT,95,0.0,1.0,95
NAN,260,0.0,1.0,260
NC,7430,0.0,1.0,7430
ND,103,0.0,1.0,103
NE,256,0.0,1.0,256
NH,146,0.0,1.0,146
NJ,5913,0.0,1.0,5913
NM,197,0.0,1.0,197
NV,2584,0.0,1.0,2584
NY,10726,0.0,1.0,10726
OH,3386,0.0,1.0,3386
OK,719,0.0,1.0,719
OR,459,0.0,1.0,459
PA,6826,0.0,1.0,6826
PR,833,0.0,1.0,833
RI,509,0.0,1.0,509
SC,4798,0.0,1.0,4798
SD,90,0.0,1.0,90
TN,2737,0.0,1.0,2737
TX,30044,0.0,1.0,30044
UNITED STATES MINOR OUTLYING ISLANDS,2,0.0,1.0,2
UT,454,0.0,1.0,454
VA,3730,0.0,1.0,3730
VI,68,0.0,1.0,68
VT,39,0.0,1.0,39
WA,1404,0.0,1.0,1404
WI,1161,0.0,1.0,1161
WV,230,0.0,1.0,230
WY,32,0.0,1.0,32
