SUB_ID,Age,Gender,Policy_Status,Region
1,41,Male,Active,South
2,50,Female,Inactive,East
3,73,Female,Active,South
4,58,Female,Inactive,East
5,68,Male,Active,West
6,63,Male,Active,West
7,46,Female,Active,East
8,63,Female,Active,West
9,51,Male,Inactive,East
10,50,Female,Active,East
11,56,Male,Active,East
12,34,Female,Active,North
13,72,Male,Active,West
14,46,Female,Inactive,East
15,69,Female,Active,North
16,57,Female,Inactive,North
17,76,Female,Inactive,West
18,46,Other,Active,West
19,51,Male,Active,North
20,60,Female,Active,West
21,24,Male,Inactive,North
22,67,Female,Active,West
23,77,Other,Active,East
24,71,Female,Active,East
25,66,Female,Inactive,North
26,53,Female,Active,East
27,73,Female,Active,West
28,70,Male,Active,East
29,60,Female,Inactive,North
30,55,Male,Inactive,East
31,50,Female,Active,South
32,38,Female,Active,East
33,72,Female,Active,North
34,25,Female,Inactive,North
35,50,Male,Inactive,South
36,57,Female,Active,South
37,67,Male,Active,South
38,80,Female,Active,South
39,69,Male,Active,South
40,51,Female,Active,West
41,65,Female,Active,East
42,37,Female,Inactive,South
43,75,Male,Active,East
44,53,Male,Active,South
45,46,Female,Active,East
46,46,Female,Active,North
47,54,Female,Active,West
48,50,Male,Inactive,East
49,87,Female,Active,West
50,45,Male,Active,South
51,55,Female,Active,West
52,55,Female,Active,North
53,55,Female,Active,East
54,56,Female,Inactive,West
55,48,Female,Inactive,West
56,47,Male,Active,South
57,43,Male,Active,South
58,34,Male,Active,South
59,58,Male,Active,South
60,69,Female,Active,South
61,47,Male,Active,South
62,47,Female,Inactive,South
63,51,Male,Active,West
64,49,Female,Active,South
65,35,Male,Active,West
66,74,Female,Inactive,South
67,61,Female,Active,South
68,45,Male,Inactive,North
69,59,Female,Inactive,South
70,49,Female,Active,West
71,52,Male,Active,South
72,60,Female,Active,North
73,68,Female,Inactive,North
74,76,Female,Active,North
75,79,Female,Active,South
76,52,Male,Active,East
77,48,Male,Inactive,East
78,56,Female,Active,West
79,57,Female,Active,North
80,45,Male,Inactive,West
81,46,Male,Inactive,West
82,66,Male,Inactive,North
83,78,Female,Active,North
84,52,Male,Active,East
85,46,Female,Active,South
86,51,Female,Active,South
87,41,Male,Inactive,East
88,51,Female,Inactive,West
89,61,Male,Active,West
90,54,Female,Active,North
91,72,Male,Active,South
92,57,Female,Inactive,East
93,62,Male,Inactive,North
94,53,Female,Inactive,South
95,73,Female,Inactive,North
96,38,Female,Active,East
97,51,Female,Active,North
98,39,Other,Active,South
99,67,Male,Active,North
100,67,Male,Inactive,South
101,48,Male,Active,South
102,78,Male,Active,South
103,51,Male,Active,East
104,36,Male,Active,South
105,51,Male,Active,East
106,60,Male,Active,West
107,52,Male,Inactive,South
108,87,Female,Active,West
109,67,Female,Active,East
110,79,Female,Active,South
111,74,Female,Inactive,West
112,31,Male,Active,North
113,50,Male,Inactive,South
114,18,Male,Active,West
115,46,Male,Inactive,East
116,71,Male,Inactive,East
117,43,Female,Active,West
118,46,Male,Inactive,East
119,60,Male,Active,North
120,66,Male,Active,South
121,50,Female,Active,East
122,51,Male,Active,North
123,66,Female,Inactive,West
124,59,Female,Active,North
125,51,Female,Inactive,South
126,59,Female,Inactive,West
127,56,Male,Active,South
128,59,Female,Active,North
129,83,Female,Active,North
130,51,Female,Active,East
131,47,Female,Active,South
132,75,Female,Active,West
133,45,Male,Active,North
134,79,Female,Active,North
135,52,Male,Active,North
136,56,Female,Active,West
137,65,Male,Active,East
138,72,Male,Active,South
139,69,Male,Active,South
140,52,Female,Active,North
141,50,Male,Active,North
142,60,Other,Active,West
143,57,Male,Active,East
144,46,Male,Active,East
145,61,Male,Inactive,West
146,69,Male,Inactive,East
147,57,Male,Active,West
148,77,Male,Active,North
149,61,Male,Active,East
150,53,Male,Inactive,East
151,56,Female,Active,North
152,47,Female,Active,North
153,41,Male,Active,East
154,62,Male,Active,West
155,43,Male,Active,East
156,50,Male,Active,East
157,54,Male,Inactive,East
158,60,Male,Active,South
159,61,Male,Active,North
160,56,Male,Active,East
161,28,Female,Active,West
162,52,Male,Active,East
163,44,Male,Active,West
164,53,Male,Inactive,East
165,69,Female,Inactive,East
166,66,Female,Active,South
167,58,Female,Active,North
168,62,Female,Active,West
169,34,Male,Active,East
170,58,Female,Active,South
171,64,Female,Active,North
172,45,Male,Active,North
173,61,Male,Inactive,South
174,50,Male,Inactive,North
175,69,Other,Active,East
176,71,Female,Active,West
177,48,Female,Inactive,South
178,75,Female,Active,North
179,52,Female,Inactive,North
180,84,Male,Active,South
181,48,Female,Active,North
182,56,Female,Active,East
183,58,Male,Active,West
184,44,Male,Inactive,West
185,31,Female,Inactive,East
186,44,Male,Active,North
187,70,Male,Inactive,East
188,50,Female,Inactive,South
189,50,Female,Active,North
190,76,Female,Active,West
191,62,Female,Active,North
192,65,Male,Active,East
193,67,Male,Active,West
194,42,Male,Active,South
195,57,Female,Active,South
196,57,Female,Active,South
197,53,Female,Active,East
198,40,Male,Active,East
199,61,Female,Active,North
200,32,Male,Active,East
201,42,Female,Active,South
202,44,Female,Active,East
203,49,Female,Inactive,North
204,67,Male,Active,South
205,78,Male,Active,West
206,79,Female,Inactive,West
207,66,Female,Active,East
208,61,Male,Active,North
209,22,Male,Active,East
210,71,Female,Active,East
211,92,Male,Active,North
212,61,Female,Inactive,North
213,58,Male,Active,North
214,65,Male,Inactive,North
215,65,Male,Inactive,South
216,57,Female,Active,North
217,50,Male,Inactive,West
218,60,Male,Inactive,North
219,36,Female,Active,North
220,29,Female,Active,East
221,74,Male,Active,North
222,49,Other,Active,North
223,65,Male,Active,West
224,77,Female,Active,South
225,72,Male,Active,East
226,47,Female,Inactive,South
227,60,Female,Active,North
228,39,Female,Inactive,East
229,54,Male,Inactive,West
230,70,Female,Inactive,East
231,55,Female,Active,South
232,18,Female,Active,North
233,23,Female,Inactive,West
234,44,Male,Active,West
235,74,Male,Active,South
236,58,Male,Active,South
237,57,Female,Active,South
238,37,Female,Active,North
239,57,Female,Active,West
240,23,Female,Active,West
241,60,Male,Active,North
242,72,Female,Active,East
243,44,Female,Inactive,West
244,70,Female,Active,West
245,45,Male,Active,East
246,57,Female,Active,West
247,53,Male,Inactive,West
248,56,Male,Active,West
249,76,Female,Inactive,West
250,67,Male,Active,North
251,46,Male,Active,South
252,18,Male,Active,East
253,68,Female,Active,West
254,66,Male,Inactive,East
255,57,Male,Active,East
256,47,Male,Active,East
257,77,Female,Active,East
258,30,Female,Active,East
259,44,Female,Active,West
260,34,Male,Inactive,East
261,60,Female,Active,East
262,48,Male,Inactive,West
263,85,Male,Active,West
264,55,Female,Active,East
265,52,Male,Active,East
266,63,Female,Active,North
267,45,Female,Active,East
268,40,Male,Active,North
269,62,Female,Active,East
270,48,Male,Inactive,South
271,69,Female,Inactive,North
272,60,Male,Active,South
273,57,Male,Active,South
274,56,Female,Active,South
275,54,Male,Inactive,West
276,61,Male,Active,South
277,49,Female,Active,West
278,28,Male,Active,South
279,56,Male,Inactive,North
280,49,Female,Active,East
281,36,Female,Inactive,East
282,66,Female,Active,North
283,50,Male,Active,North
284,31,Male,Inactive,West
285,54,Male,Active,East
286,46,Male,Active,North
287,31,Female,Inactive,West
288,59,Female,Inactive,South
289,40,Female,Active,South
290,65,Male,Active,South
291,42,Male,Active,West
292,69,Male,Active,South
293,61,Male,Active,East
294,57,Male,Active,East
295,44,Male,Active,West
296,68,Male,Active,East
297,62,Male,Active,South
298,50,Male,Active,West
299,63,Male,Active,West
300,41,Male,Active,East
301,37,Male,Active,South
302,54,Male,Active,East
303,56,Male,Active,East
304,61,Male,Active,East
305,56,Male,Active,East
306,72,Male,Inactive,North
307,37,Female,Active,East
308,63,Female,Active,North
309,58,Female,Active,West
310,74,Male,Active,North
311,57,Male,Active,South
312,59,Male,Inactive,East
313,80,Male,Inactive,East
314,66,Female,Inactive,South
315,64,Female,Active,North
316,50,Male,Active,West
317,57,Female,Inactive,North
318,32,Male,Active,South
319,43,Female,Active,West
320,64,Male,Active,West
321,30,Female,Active,North
322,56,Female,Active,South
323,55,Female,Inactive,South
324,60,Male,Inactive,East
325,31,Female,Active,East
326,27,Female,Active,North
327,71,Male,Active,North
328,57,Male,Active,East
329,61,Male,Active,West
330,78,Female,Active,North
331,57,Male,Inactive,South
332,28,Female,Inactive,East
333,51,Male,Active,West
334,66,Female,Inactive,West
335,49,Female,Inactive,East
336,51,Male,Active,North
337,47,Female,Active,West
338,76,Female,Inactive,North
339,72,Female,Active,North
